广东频道,#genre#
广东珠江,http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东新闻,http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.188.197.142:8000/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://125.36.77.203:8888/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://111.164.131.40:8888/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://61.240.57.248:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://27.11.46.226:8005/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://39.77.2.151:8989/rtp/239.253.254.90:8000$1920x1080
广东卫视,http://114.252.227.154:8000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://222.141.133.165:8888/rtp/225.1.4.166:1207$1920x1080
广东卫视,http://125.36.87.158:8888/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://171.213.206.59:8000/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://183.166.118.231:8888/rtp/238.1.78.161:7160$1920x1080
广东卫视,http://220.192.3.239:8004/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://218.67.183.51:8888/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://221.234.164.91:8888/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://60.10.135.181:555/rtp/239.253.92.206:8108$1920x1080
深圳卫视,http://125.36.77.203:8888/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://222.141.133.165:8888/rtp/225.1.4.90:1119$1920x1080
深圳卫视,http://27.11.46.226:8005/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://61.240.57.248:8085/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://125.36.87.158:8888/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://111.164.131.40:8888/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://183.166.118.231:8888/rtp/238.1.78.156:7120$1920x1080
深圳卫视,http://222.182.121.159:8888/rtp/235.254.198.71:1560$1920x1080
深圳卫视,http://115.49.75.58:4000/rtp/225.1.4.90:1119$1920x1080
深圳卫视,http://60.7.56.33:4000/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://124.235.218.125:30007/rtp/239.37.0.047:5540$1920x1080
深圳卫视,http://171.213.206.59:8000/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://39.77.2.151:8989/rtp/239.253.254.91:8000$1920x1080
深圳卫视,http://27.19.214.135:8118/rtp/239.254.96.137:8896$1920x1080
深圳卫视,http://60.220.167.67:8085/rtp/226.0.2.147:9088$1920x1080
央视频道,#genre#
CCTV-1,http://27.10.76.34:8010/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://125.36.87.158:8888/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://183.188.197.142:8000/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.213.206.59:8000/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://124.235.218.125:30007/rtp/239.37.0.254:5540$1920x1080
CCTV-1,http://222.141.133.165:8888/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://115.49.75.58:4000/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://27.11.46.226:8005/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://220.192.3.239:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://183.166.118.231:8888/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://60.10.135.181:555/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://39.77.2.151:8989/rtp/239.253.254.77:8000$1920x1080
CCTV-1,http://27.11.56.206:8003/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://222.182.121.159:8888/rtp/235.254.198.51:1480$1920x1080
CCTV-1,http://222.141.135.53:8888/rtp/225.1.4.73:1102$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://111.193.225.167:8888/rtp/239.3.1.60:8084
CCTV-2,http://114.241.166.2:8888/rtp/239.3.1.60:8084
CCTV-2,http://114.240.43.183:8888/rtp/239.3.1.60:8084
CCTV-2,http://114.243.104.92:8888/rtp/239.3.1.60:8084
CCTV-2,http://123.117.51.57:5555/rtp/239.3.1.60:8084
CCTV-2,http://123.123.167.240:8000/rtp/239.3.1.60:8084
CCTV-2,http://123.118.107.183:4022/rtp/239.3.1.60:8084
CCTV-2,http://114.252.227.154:8000/rtp/239.3.1.60:8084
CCTV-2,http://221.221.92.194:8888/rtp/239.3.1.60:8084
CCTV-2,http://114.243.107.72:8822/rtp/239.3.1.60:8084
CCTV-2,http://221.221.146.211:8182/rtp/239.3.1.60:8084
CCTV-2,http://114.243.108.168:8822/rtp/239.3.1.60:8084
CCTV-2,http://123.113.237.36:8012/rtp/239.3.1.60:8084
CCTV-2,http://114.243.105.128:8822/rtp/239.3.1.60:8084
CCTV-3,http://111.193.225.167:8888/rtp/239.3.1.172:8001
CCTV-3,http://114.241.166.2:8888/rtp/239.3.1.172:8001
CCTV-3,http://114.240.43.183:8888/rtp/239.3.1.172:8001
CCTV-3,http://114.243.104.92:8888/rtp/239.3.1.172:8001
CCTV-3,http://123.117.51.57:5555/rtp/239.3.1.172:8001
CCTV-3,http://123.123.167.240:8000/rtp/239.3.1.172:8001
CCTV-3,http://123.118.107.183:4022/rtp/239.3.1.172:8001
CCTV-3,http://114.252.227.154:8000/rtp/239.3.1.172:8001
CCTV-3,http://221.221.92.194:8888/rtp/239.3.1.172:8001
CCTV-3,http://114.243.107.72:8822/rtp/239.3.1.172:8001
CCTV-3,http://221.221.146.211:8182/rtp/239.3.1.172:8001
CCTV-3,http://114.243.108.168:8822/rtp/239.3.1.172:8001
CCTV-3,http://123.113.237.36:8012/rtp/239.3.1.172:8001
CCTV-3,http://114.243.105.128:8822/rtp/239.3.1.172:8001
CCTV-3,http://222.129.32.189:8686/rtp/239.3.1.172:8001
CCTV-4,http://111.193.225.167:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.241.166.2:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.240.43.183:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.243.104.92:8888/rtp/239.3.1.105:8092
CCTV-4,http://123.117.51.57:5555/rtp/239.3.1.105:8092
CCTV-4,http://123.123.167.240:8000/rtp/239.3.1.105:8092
CCTV-4,http://123.118.107.183:4022/rtp/239.3.1.105:8092
CCTV-4,http://114.252.227.154:8000/rtp/239.3.1.105:8092
CCTV-4,http://221.221.92.194:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.243.107.72:8822/rtp/239.3.1.105:8092
CCTV-4,http://221.221.146.211:8182/rtp/239.3.1.105:8092
CCTV-4,http://114.243.108.168:8822/rtp/239.3.1.105:8092
CCTV-4,http://123.113.237.36:8012/rtp/239.3.1.105:8092
CCTV-4,http://114.243.105.128:8822/rtp/239.3.1.105:8092
CCTV-4,http://222.129.32.189:8686/rtp/239.3.1.105:8092
CCTV-5,http://111.193.225.167:8888/rtp/239.3.1.173:8001
